	airport_id	airport_name	year	month	origin_domestic	origin_international	origin_total	destination_domestic	destination_international	destination_total	destination_total	report_dt
54	KDEN	DENVER INTL AIRPORT	2006	12	20,658	891	21,549	20,666	887	21,553	21,553	2023-09-14
55	KDEN	DENVER INTL AIRPORT	2006	TOTAL	271,108	9,449	280,557	270,860	9,490	280,350	280,350	2023-09-14
56	KDEN	DENVER INTL AIRPORT	2007	1	22,979	958	23,937	22,949	960	23,909	23,909	2023-09-14
57	KDEN	DENVER INTL AIRPORT	2007	2	20,746	876	21,622	20,727	860	21,587	21,587	2023-09-14
58	KDEN	DENVER INTL AIRPORT	2007	3	24,144	1,046	25,190	24,168	1,047	25,215	25,215	2023-09-14
59	KDEN	DENVER INTL AIRPORT	2007	4	22,761	988	23,749	22,779	989	23,768	23,768	2023-09-14
60	KDEN	DENVER INTL AIRPORT	2007	5	23,680	1,036	24,716	23,678	1,029	24,707	24,707	2023-09-14
61	KDEN	DENVER INTL AIRPORT	2007	6	23,613	1,020	24,633	23,592	1,042	24,634	24,634	2023-09-14
62	KDEN	DENVER INTL AIRPORT	2007	7	25,104	964	26,068	25,066	991	26,057	26,057	2023-09-14
63	KDEN	DENVER INTL AIRPORT	2007	8	25,134	958	26,092	25,078	983	26,061	26,061	2023-09-14
64	KDEN	DENVER INTL AIRPORT	2007	9	22,946	857	23,803	22,908	889	23,797	23,797	2023-09-14
65	KDEN	DENVER INTL AIRPORT	2007	10	23,778	941	24,719	23,737	963	24,700	24,700	2023-09-14
66	KDEN	DENVER INTL AIRPORT	2007	11	22,659	964	23,623	22,643	964	23,607	23,607	2023-09-14
67	KDEN	DENVER INTL AIRPORT	2007	12	23,021	1,106	24,127	22,979	1,104	24,083	24,083	2023-09-14
68	KDEN	DENVER INTL AIRPORT	2007	TOTAL	280,565	11,714	292,279	280,304	11,821	292,125	292,125	2023-09-14
69	KDEN	DENVER INTL AIRPORT	2008	1	23,175	992	24,167	23,094	990	24,084	24,084	2023-09-14
70	KDEN	DENVER INTL AIRPORT	2008	2	22,372	894	23,266	22,316	889	23,205	23,205	2023-09-14
71	KDEN	DENVER INTL AIRPORT	2008	3	23,883	1,014	24,897	23,863	1,008	24,871	24,871	2023-09-14
72	KDEN	DENVER INTL AIRPORT	2008	4	23,501	978	24,479	23,477	973	24,450	24,450	2023-09-14
73	KDEN	DENVER INTL AIRPORT	2008	5	24,730	975	25,705	24,688	973	25,661	25,661	2023-09-14
74	KDEN	DENVER INTL AIRPORT	2008	6	25,004	978	25,982	24,972	1,002	25,974	25,974	2023-09-14
75	KDEN	DENVER INTL AIRPORT	2008	7	25,866	932	26,798	25,799	948	26,747	26,747	2023-09-14
76	KDEN	DENVER INTL AIRPORT	2008	8	25,444	936	26,380	25,372	955	26,327	26,327	2023-09-14
77	KDEN	DENVER INTL AIRPORT	2008	9	22,436	881	23,317	22,403	877	23,280	23,280	2023-09-14
78	KDEN	DENVER INTL AIRPORT	2008	10	23,032	866	23,898	23,006	866	23,872	23,872	2023-09-14
79	KDEN	DENVER INTL AIRPORT	2008	11	21,712	860	22,572	21,661	857	22,518	22,518	2023-09-14
80	KDEN	DENVER INTL AIRPORT	2008	12	22,965	986	23,951	22,904	980	23,884	23,884	2023-09-14
81	KDEN	DENVER INTL AIRPORT	2008	TOTAL	284,120	11,292	295,412	283,555	11,318	294,873	294,873	2023-09-14
82	KDEN	DENVER INTL AIRPORT	2009	1	22,812	1,008	23,820	22,742	1,005	23,747	23,747	2023-09-14
83	KDEN	DENVER INTL AIRPORT	2009	2	21,165	951	22,116	21,128	947	22,075	22,075	2023-09-14
84	KDEN	DENVER INTL AIRPORT	2009	3	23,905	1,058	24,963	23,847	1,048	24,895	24,895	2023-09-14
85	KDEN	DENVER INTL AIRPORT	2009	4	22,293	1,017	23,310	22,255	1,018	23,273	23,273	2023-09-14
86	KDEN	DENVER INTL AIRPORT	2009	5	23,269	863	24,132	23,227	865	24,092	24,092	2023-09-14
87	KDEN	DENVER INTL AIRPORT	2009	6	24,609	898	25,507	24,582	885	25,467	25,467	2023-09-14
88	KDEN	DENVER INTL AIRPORT	2009	7	25,542	1,025	26,567	25,492	1,017	26,509	26,509	2023-09-14
89	KDEN	DENVER INTL AIRPORT	2009	8	25,328	1,023	26,351	25,303	1,020	26,323	26,323	2023-09-14
90	KDEN	DENVER INTL AIRPORT	2009	9	22,643	871	23,514	22,599	857	23,456	23,456	2023-09-14
91	KDEN	DENVER INTL AIRPORT	2009	10	22,816	895	23,711	22,757	888	23,645	23,645	2023-09-14
92	KDEN	DENVER INTL AIRPORT	2009	11	22,021	864	22,885	21,986	863	22,849	22,849	2023-09-14
93	KDEN	DENVER INTL AIRPORT	2009	12	23,339	995	24,334	23,288	992	24,280	24,280	2023-09-14
94	KDEN	DENVER INTL AIRPORT	2009	TOTAL	279,742	11,468	291,210	279,206	11,405	290,611	290,611	2023-09-14
95	KDEN	DENVER INTL AIRPORT	2010	1	23,220	1,023	24,243	23,195	1,022	24,217	24,217	2023-09-14
96	KDEN	DENVER INTL AIRPORT	2010	2	21,482	1,005	22,487	21,429	1,007	22,436	22,436	2023-09-14
97	KDEN	DENVER INTL AIRPORT	2010	3	24,296	1,170	25,466	24,261	1,167	25,428	25,428	2023-09-14
98	KDEN	DENVER INTL AIRPORT	2010	4	23,248	1,096	24,344	23,269	1,085	24,354	24,354	2023-09-14
99	KDEN	DENVER INTL AIRPORT	2010	5	24,086	1,031	25,117	24,040	1,026	25,066	25,066	2023-09-14
100	KDEN	DENVER INTL AIRPORT	2010	6	24,963	980	25,943	24,925	970	25,895	25,895	2023-09-14
101	KDEN	DENVER INTL AIRPORT	2010	7	26,184	1,009	27,193	26,158	995	27,153	27,153	2023-09-14
102	KDEN	DENVER INTL AIRPORT	2010	8	26,281	973	27,254	26,234	965	27,199	27,199	2023-09-14
103	KDEN	DENVER INTL AIRPORT	2010	9	24,380	863	25,243	24,334	855	25,189	25,189	2023-09-14
104	KDEN	DENVER INTL AIRPORT	2010	10	24,773	908	25,681	24,731	901	25,632	25,632	2023-09-14
105	KDEN	DENVER INTL AIRPORT	2010	11	23,227	798	24,025	23,185	796	23,981	23,981	2023-09-14
106	KDEN	DENVER INTL AIRPORT	2010	12	24,271	950	25,221	24,235	944	25,179	25,179	2023-09-14
107	KDEN	DENVER INTL AIRPORT	2010	TOTAL	290,411	11,806	302,217	289,996	11,733	301,729	301,729	2023-09-14
108	KDEN	DENVER INTL AIRPORT	2011	1	23,118	1,007	24,125	23,116	997	24,113	24,113	2023-09-14
109	KDEN	DENVER INTL AIRPORT	2011	2	21,641	932	22,573	21,585	927	22,512	22,512	2023-09-14
110	KDEN	DENVER INTL AIRPORT	2011	3	25,319	1,065	26,384	25,292	1,061	26,353	26,353	2023-09-14
111	KDEN	DENVER INTL AIRPORT	2011	4	23,699	1,035	24,734	23,664	1,026	24,690	24,690	2023-09-14
112	KDEN	DENVER INTL AIRPORT	2011	5	24,677	931	25,608	24,623	928	25,551	25,551	2023-09-14
113	KDEN	DENVER INTL AIRPORT	2011	6	25,834	880	26,714	25,832	874	26,706	26,706	2023-09-14
114	KDEN	DENVER INTL AIRPORT	2011	7	26,345	892	27,237	26,351	880	27,231	27,231	2023-09-14
115	KDEN	DENVER INTL AIRPORT	2011	8	26,850	893	27,743	26,823	892	27,715	27,715	2023-09-14
116	KDEN	DENVER INTL AIRPORT	2011	9	23,744	793	24,537	23,730	792	24,522	24,522	2023-09-14
117	KDEN	DENVER INTL AIRPORT	2011	10	23,628	819	24,447	23,597	817	24,414	24,414	2023-09-14
118	KDEN	DENVER INTL AIRPORT	2011	11	22,191	769	22,960	22,179	768	22,947	22,947	2023-09-14
119	KDEN	DENVER INTL AIRPORT	2011	12	23,606	875	24,481	23,584	872	24,456	24,456	2023-09-14
120	KDEN	DENVER INTL AIRPORT	2011	TOTAL	290,652	10,891	301,543	290,376	10,834	301,210	301,210	2023-09-14
121	KDEN	DENVER INTL AIRPORT	2012	1	22,701	895	23,596	22,678	894	23,572	23,572	2023-09-14
122	KDEN	DENVER INTL AIRPORT	2012	2	21,323	862	22,185	21,309	856	22,165	22,165	2023-09-14
123	KDEN	DENVER INTL AIRPORT	2012	3	24,178	989	25,167	24,180	982	25,162	25,162	2023-09-14
124	KDEN	DENVER INTL AIRPORT	2012	4	22,541	919	23,460	22,532	920	23,452	23,452	2023-09-14
